team,player,event_type,reason,start_date,end_date,days,url
Chelsea FC,Thibaut Courtois,injury,Ankle injury,2017-04-13,2017-04-20,8 days,https://www.transfermarkt.co.uk/thibaut-courtois/profil/spieler/108390
Chelsea FC,Andreas Christensen,injury,Back problems,2017-05-09,2017-05-11,3 days,https://www.transfermarkt.co.uk/andreas-christensen/profil/spieler/196948
Chelsea FC,Andreas Christensen,injury,Back problems,2017-03-09,2017-03-11,3 days,https://www.transfermarkt.co.uk/andreas-christensen/profil/spieler/196948
Chelsea FC,Andreas Christensen,injury,Strain in the thigh and gluteal muscles,2016-10-17,2016-11-07,22 days,https://www.transfermarkt.co.uk/andreas-christensen/profil/spieler/196948
Chelsea FC,Kurt Zouma,injury,Cruciate ligament tear,2016-02-08,2016-11-21,288 days,https://www.transfermarkt.co.uk/kurt-zouma/profil/spieler/157509
Chelsea FC,Tomas Kalas,injury,Hamstring injury,2016-12-17,2017-01-07,22 days,https://www.transfermarkt.co.uk/tomas-kalas/profil/spieler/148657
Chelsea FC,Tomas Kalas,injury,unknown injury,2016-09-20,2016-10-23,34 days,https://www.transfermarkt.co.uk/tomas-kalas/profil/spieler/148657
Chelsea FC,Kenneth Omeruo,injury,unknown injury,2016-12-12,2016-12-26,15 days,https://www.transfermarkt.co.uk/kenneth-omeruo/profil/spieler/131708
Chelsea FC,Kenneth Omeruo,injury,unknown injury,2016-11-12,2016-11-20,9 days,https://www.transfermarkt.co.uk/kenneth-omeruo/profil/spieler/131708
Chelsea FC,John Terry,injury,strain,2016-11-22,2016-12-17,26 days,https://www.transfermarkt.co.uk/john-terry/profil/spieler/3160
Chelsea FC,John Terry,injury,Ankle injury,2016-09-11,2016-10-01,21 days,https://www.transfermarkt.co.uk/john-terry/profil/spieler/3160
Chelsea FC,John Terry,suspension,Red card suspension,2017-01-09,2017-01-15,7 days,https://www.transfermarkt.co.uk/john-terry/profil/spieler/3160
Chelsea FC,Abdul Rahman Baba,injury,Cruciate ligament tear,2017-01-19,2017-09-04,229 days,https://www.transfermarkt.co.uk/abdul-rahman-baba/profil/spieler/224884
Chelsea FC,Abdul Rahman Baba,injury,Meniscus damage,2017-01-19,2017-07-20,183 days,https://www.transfermarkt.co.uk/abdul-rahman-baba/profil/spieler/224884
Chelsea FC,Abdul Rahman Baba,suspension,Called up to national team,2017-01-03,2017-01-17,15 days,https://www.transfermarkt.co.uk/abdul-rahman-baba/profil/spieler/224884
Chelsea FC,Branislav Ivanovic,injury,Muscle injury,2016-10-09,2016-10-30,22 days,https://www.transfermarkt.co.uk/branislav-ivanovic/profil/spieler/36827
Chelsea FC,Todd Kane,injury,Cruciate ligament tear,2016-04-21,2017-02-04,290 days,https://www.transfermarkt.co.uk/todd-kane/profil/spieler/154287
Chelsea FC,N'Golo Kanté,suspension,Yellow card suspension,2016-12-18,2016-12-27,10 days,https://www.transfermarkt.co.uk/ngolo-kante/profil/spieler/225083
Chelsea FC,Nemanja Matic,injury,Knock,2016-11-27,2016-12-10,14 days,https://www.transfermarkt.co.uk/nemanja-matic/profil/spieler/74683
Chelsea FC,Cesc Fàbregas,injury,Thigh problems,2016-10-14,2016-11-18,36 days,https://www.transfermarkt.co.uk/cesc-fabregas/profil/spieler/8806
Chelsea FC,Marco van Ginkel,injury,Knee injury,2017-03-02,2017-03-09,8 days,https://www.transfermarkt.co.uk/marco-van-ginkel/profil/spieler/147034
Chelsea FC,Marco van Ginkel,injury,Knee injury,2016-08-05,2016-10-29,86 days,https://www.transfermarkt.co.uk/marco-van-ginkel/profil/spieler/147034
Chelsea FC,Oscar,injury,Ill,2016-12-08,2016-12-17,10 days,https://www.transfermarkt.co.uk/oscar/profil/spieler/85314
Chelsea FC,Lucas Piazón,injury,Broken jaw,2017-02-25,2017-04-03,38 days,https://www.transfermarkt.co.uk/lucas-piazon/profil/spieler/176485
Chelsea FC,Nathan,injury,Knee injury,2017-01-01,2017-01-19,19 days,https://www.transfermarkt.co.uk/nathan/profil/spieler/294798
Chelsea FC,Danilo Pantic,injury,Groin injury,2016-12-01,2017-02-02,64 days,https://www.transfermarkt.co.uk/danilo-pantic/profil/spieler/222830
Chelsea FC,Danilo Pantic,suspension,No eligibility,2016-08-12,2016-09-09,29 days,https://www.transfermarkt.co.uk/danilo-pantic/profil/spieler/222830
Chelsea FC,Eden Hazard,injury,Calf strain,2017-03-16,2017-03-30,15 days,https://www.transfermarkt.co.uk/eden-hazard/profil/spieler/50202
Chelsea FC,Eden Hazard,injury,Knock,2016-12-12,2016-12-15,4 days,https://www.transfermarkt.co.uk/eden-hazard/profil/spieler/50202
Chelsea FC,Kenedy,injury,Knee injury,2016-10-10,2017-01-27,110 days,https://www.transfermarkt.co.uk/kenedy/profil/spieler/281404
Chelsea FC,Jérémie Boga,injury,Muscle injury,2016-11-23,2016-12-02,10 days,https://www.transfermarkt.co.uk/jeremie-boga/profil/spieler/216569
Chelsea FC,Pedro,suspension,Yellow card suspension,2016-12-27,2017-01-01,6 days,https://www.transfermarkt.co.uk/pedro/profil/spieler/65278
Chelsea FC,Victor Moses,injury,Calf strain,2017-03-18,2017-04-07,21 days,https://www.transfermarkt.co.uk/victor-moses/profil/spieler/59866
Chelsea FC,Bertrand Traoré,injury,Leg injury,2016-12-02,2017-01-01,31 days,https://www.transfermarkt.co.uk/bertrand-traore/profil/spieler/131996
Chelsea FC,Bertrand Traoré,injury,Foot injury,2016-11-07,2016-11-16,10 days,https://www.transfermarkt.co.uk/bertrand-traore/profil/spieler/131996
Chelsea FC,Diego Costa,injury,Muscle fatigue,2016-11-07,2016-11-18,12 days,https://www.transfermarkt.co.uk/diego-costa/profil/spieler/44779
Chelsea FC,Diego Costa,suspension,Yellow card suspension,2016-12-18,2016-12-27,10 days,https://www.transfermarkt.co.uk/diego-costa/profil/spieler/44779
Chelsea FC,Loïc Rémy,injury,Calf strain,2016-11-17,2017-01-07,52 days,https://www.transfermarkt.co.uk/loic-remy/profil/spieler/45121
Chelsea FC,Loïc Rémy,injury,Hamstring injury,2016-09-05,2016-11-05,62 days,https://www.transfermarkt.co.uk/loic-remy/profil/spieler/45121
Manchester City,Claudio Bravo,injury,Calf muscle tear,2017-04-27,2017-06-23,58 days,https://www.transfermarkt.co.uk/claudio-bravo/profil/spieler/40423
Manchester City,Nicolás Otamendi,suspension,Yellow card suspension,2016-12-04,2016-12-11,8 days,https://www.transfermarkt.co.uk/nicolas-otamendi/profil/spieler/54781
Manchester City,Vincent Kompany,injury,Leg injury,2017-02-16,2017-03-06,19 days,https://www.transfermarkt.co.uk/vincent-kompany/profil/spieler/9594
Manchester City,Vincent Kompany,injury,Knee injury,2016-11-21,2017-01-02,43 days,https://www.transfermarkt.co.uk/vincent-kompany/profil/spieler/9594
Manchester City,Vincent Kompany,injury,Groin injury,2016-09-22,2016-10-24,33 days,https://www.transfermarkt.co.uk/vincent-kompany/profil/spieler/9594
Manchester City,Vincent Kompany,injury,Groin injury,2016-05-05,2016-09-15,134 days,https://www.transfermarkt.co.uk/vincent-kompany/profil/spieler/9594
Manchester City,Eliaquim Mangala,injury,Muscle injury,2016-12-22,2017-01-08,18 days,https://www.transfermarkt.co.uk/eliaquim-mangala/profil/spieler/90681
Manchester City,Eliaquim Mangala,injury,Achilles tendon problems,2016-10-03,2016-10-22,20 days,https://www.transfermarkt.co.uk/eliaquim-mangala/profil/spieler/90681
Manchester City,Gaël Clichy,injury,Back injury,2017-02-09,2017-03-01,21 days,https://www.transfermarkt.co.uk/gael-clichy/profil/spieler/7449
Manchester City,Oleksandr Zinchenko,injury,Toe injury,2017-04-21,2017-05-07,17 days,https://www.transfermarkt.co.uk/oleksandr-zinchenko/profil/spieler/203853
Manchester City,Oleksandr Zinchenko,injury,Calf strain,2016-12-19,2017-01-21,34 days,https://www.transfermarkt.co.uk/oleksandr-zinchenko/profil/spieler/203853
Manchester City,Oleksandr Zinchenko,injury,Knock,2016-08-26,2016-09-26,32 days,https://www.transfermarkt.co.uk/oleksandr-zinchenko/profil/spieler/203853
Manchester City,Bacary Sagna,injury,Groin strain,2017-03-19,2017-06-30,104 days,https://www.transfermarkt.co.uk/bacary-sagna/profil/spieler/26764
Manchester City,Bacary Sagna,injury,Hamstring injury,2016-10-12,2016-11-18,38 days,https://www.transfermarkt.co.uk/bacary-sagna/profil/spieler/26764
Manchester City,Bacary Sagna,injury,muscular problems,2016-08-17,2016-09-09,24 days,https://www.transfermarkt.co.uk/bacary-sagna/profil/spieler/26764
Manchester City,Fernandinho,injury,Knock,2016-11-02,2016-11-04,3 days,https://www.transfermarkt.co.uk/fernandinho/profil/spieler/26267
Manchester City,Fernandinho,suspension,Red card suspension,2017-01-03,2017-02-02,31 days,https://www.transfermarkt.co.uk/fernandinho/profil/spieler/26267
Manchester City,Fernandinho,suspension,Red card suspension,2016-12-05,2016-12-19,15 days,https://www.transfermarkt.co.uk/fernandinho/profil/spieler/26267
Manchester City,İlkay Gündoğan,injury,Cruciate ligament tear,2016-12-15,2017-08-13,242 days,https://www.transfermarkt.co.uk/ilkay-gundogan/profil/spieler/53622
Manchester City,İlkay Gündoğan,injury,Dislocation of the kneecap,2016-05-02,2016-09-12,134 days,https://www.transfermarkt.co.uk/ilkay-gundogan/profil/spieler/53622
Manchester City,Fabian Delph,injury,Muscle injury,2016-09-01,2017-01-05,127 days,https://www.transfermarkt.co.uk/fabian-delph/profil/spieler/50362
Manchester City,Kevin De Bruyne,injury,Groin injury,2017-03-24,2017-03-31,8 days,https://www.transfermarkt.co.uk/kevin-de-bruyne/profil/spieler/88755
Manchester City,Kevin De Bruyne,injury,Calf injury,2016-10-23,2016-10-28,6 days,https://www.transfermarkt.co.uk/kevin-de-bruyne/profil/spieler/88755
Manchester City,Kevin De Bruyne,injury,Hamstring injury,2016-09-25,2016-10-14,20 days,https://www.transfermarkt.co.uk/kevin-de-bruyne/profil/spieler/88755
Manchester City,Samir Nasri,injury,muscular problems,2017-05-06,2017-05-31,26 days,https://www.transfermarkt.co.uk/samir-nasri/profil/spieler/18935
Manchester City,Samir Nasri,injury,Muscle injury,2017-04-06,2017-04-27,22 days,https://www.transfermarkt.co.uk/samir-nasri/profil/spieler/18935
Manchester City,Samir Nasri,injury,muscular problems,2017-01-20,2017-01-25,6 days,https://www.transfermarkt.co.uk/samir-nasri/profil/spieler/18935
Manchester City,Samir Nasri,injury,Achilles tendon problems,2016-11-07,2016-12-05,29 days,https://www.transfermarkt.co.uk/samir-nasri/profil/spieler/18935
Manchester City,Samir Nasri,injury,Achilles tendon problems,2016-10-31,2016-11-03,4 days,https://www.transfermarkt.co.uk/samir-nasri/profil/spieler/18935
Manchester City,Samir Nasri,injury,ankle sprain,2016-09-12,2016-09-19,8 days,https://www.transfermarkt.co.uk/samir-nasri/profil/spieler/18935
Manchester City,Nolito,suspension,Red card suspension,2016-09-17,2016-10-03,17 days,https://www.transfermarkt.co.uk/nolito/profil/spieler/70934
Manchester City,Raheem Sterling,injury,Calf strain,2016-10-03,2016-10-14,12 days,https://www.transfermarkt.co.uk/raheem-sterling/profil/spieler/134425
Manchester City,Leroy Sané,injury,Muscle injury,2016-12-15,2017-01-16,33 days,https://www.transfermarkt.co.uk/leroy-sane/profil/spieler/192565
Manchester City,Leroy Sané,injury,Hamstring injury,2016-08-04,2016-09-05,33 days,https://www.transfermarkt.co.uk/leroy-sane/profil/spieler/192565
Manchester City,Sergio Agüero,injury,muscular problems,2016-08-29,2016-09-12,15 days,https://www.transfermarkt.co.uk/sergio-aguero/profil/spieler/26399
Manchester City,Sergio Agüero,suspension,Red card suspension,2016-12-04,2016-12-27,24 days,https://www.transfermarkt.co.uk/sergio-aguero/profil/spieler/26399
Manchester City,Sergio Agüero,suspension,Suspension through sports court,2016-09-05,2016-09-17,13 days,https://www.transfermarkt.co.uk/sergio-aguero/profil/spieler/26399
Manchester City,Gabriel Jesus,injury,Metatarsal fracture,2017-02-16,2017-04-24,68 days,https://www.transfermarkt.co.uk/gabriel-jesus/profil/spieler/363205
Manchester City,Gabriel Jesus,suspension,special leave,2017-01-02,2017-01-19,18 days,https://www.transfermarkt.co.uk/gabriel-jesus/profil/spieler/363205
Manchester City,Gabriel Jesus,suspension,Olympic games,2016-07-18,2016-08-22,36 days,https://www.transfermarkt.co.uk/gabriel-jesus/profil/spieler/363205
Tottenham Hotspur,Hugo Lloris,injury,Hamstring injury,2016-08-15,2016-09-15,32 days,https://www.transfermarkt.co.uk/hugo-lloris/profil/spieler/17965
Tottenham Hotspur,Toby Alderweireld,injury,Knee injury,2016-10-17,2016-12-01,46 days,https://www.transfermarkt.co.uk/toby-alderweireld/profil/spieler/42710
Tottenham Hotspur,Jan Vertonghen,injury,Ankle injury,2017-01-14,2017-02-18,36 days,https://www.transfermarkt.co.uk/jan-vertonghen/profil/spieler/43250
Tottenham Hotspur,Jan Vertonghen,suspension,Yellow card suspension,2016-12-29,2017-01-02,5 days,https://www.transfermarkt.co.uk/jan-vertonghen/profil/spieler/43250
Tottenham Hotspur,Eric Dier,injury,unknown injury,2016-09-18,2016-10-02,15 days,https://www.transfermarkt.co.uk/eric-dier/profil/spieler/175722
Tottenham Hotspur,Ben Davies,injury,Ankle injury,2016-10-31,2016-12-12,43 days,https://www.transfermarkt.co.uk/ben-davies/profil/spieler/192765
Tottenham Hotspur,Federico Fazio,injury,Calf problems,2016-11-02,2016-11-05,4 days,https://www.transfermarkt.co.uk/federico-fazio/profil/spieler/45314
Tottenham Hotspur,Kevin Wimmer,injury,Hamstring injury,2016-08-10,2016-08-20,11 days,https://www.transfermarkt.co.uk/kevin-wimmer/profil/spieler/122675
Tottenham Hotspur,Cameron Carter-Vickers,injury,Knee injury,2017-04-13,2017-04-30,18 days,https://www.transfermarkt.co.uk/cameron-carter-vickers/profil/spieler/341049
Tottenham Hotspur,Danny Rose,injury,Knee medial ligament tear,2017-01-30,2017-10-17,261 days,https://www.transfermarkt.co.uk/danny-rose/profil/spieler/50174
Tottenham Hotspur,Danny Rose,injury,Hamstring injury,2016-09-05,2016-10-03,29 days,https://www.transfermarkt.co.uk/danny-rose/profil/spieler/50174
Tottenham Hotspur,Danny Rose,suspension,Yellow card suspension,2016-11-20,2016-11-27,8 days,https://www.transfermarkt.co.uk/danny-rose/profil/spieler/50174
Tottenham Hotspur,Kyle Walker,injury,Ankle injury,2017-05-15,2017-06-01,18 days,https://www.transfermarkt.co.uk/kyle-walker/profil/spieler/95424
Tottenham Hotspur,Kyle Walker,suspension,Yellow card suspension,2016-12-29,2017-01-02,5 days,https://www.transfermarkt.co.uk/kyle-walker/profil/spieler/95424
Tottenham Hotspur,Nabil Bentaleb,injury,Stomach flu,2017-02-13,2017-02-16,4 days,https://www.transfermarkt.co.uk/nabil-bentaleb/profil/spieler/245537
Tottenham Hotspur,Nabil Bentaleb,injury,influenza,2016-12-08,2016-12-08,1 days,https://www.transfermarkt.co.uk/nabil-bentaleb/profil/spieler/245537
Tottenham Hotspur,Harry Winks,injury,Ankle injury,2017-04-03,2017-06-01,60 days,https://www.transfermarkt.co.uk/harry-winks/profil/spieler/249126
Tottenham Hotspur,Moussa Sissoko,suspension,Suspension through sports court,2016-10-24,2016-11-07,15 days,https://www.transfermarkt.co.uk/moussa-sissoko/profil/spieler/46001
Tottenham Hotspur,Mousa Dembélé,injury,unknown injury,2016-09-18,2016-10-02,15 days,https://www.transfermarkt.co.uk/mousa-dembele/profil/spieler/19368
Tottenham Hotspur,Mousa Dembélé,suspension,Suspension through sports court,2016-05-06,2016-09-11,129 days,https://www.transfermarkt.co.uk/mousa-dembele/profil/spieler/19368
Tottenham Hotspur,Ryan Mason,injury,Skull fracture,2017-01-22,2018-02-13,388 days,https://www.transfermarkt.co.uk/ryan-mason/profil/spieler/61834
Tottenham Hotspur,Dele Alli,injury,Knee injury,2016-11-07,2016-11-17,11 days,https://www.transfermarkt.co.uk/dele-alli/profil/spieler/207929
Tottenham Hotspur,Heung-min Son,suspension,Olympic games,2016-07-18,2016-08-21,35 days,https://www.transfermarkt.co.uk/heung-min-son/profil/spieler/91845
Tottenham Hotspur,Erik Lamela,injury,Hip injury,2016-10-24,2017-11-16,389 days,https://www.transfermarkt.co.uk/erik-lamela/profil/spieler/111630
Tottenham Hotspur,Marcus Edwards,injury,Ankle injury,2016-10-15,2017-01-31,109 days,https://www.transfermarkt.co.uk/marcus-edwards/profil/spieler/314367
Tottenham Hotspur,Harry Kane,injury,Ankle injury,2017-03-13,2017-04-06,25 days,https://www.transfermarkt.co.uk/harry-kane/profil/spieler/132098
Tottenham Hotspur,Harry Kane,injury,Ankle injury,2016-09-19,2016-11-07,50 days,https://www.transfermarkt.co.uk/harry-kane/profil/spieler/132098
Tottenham Hotspur,Vincent Janssen,injury,Ankle injury,2016-12-01,2016-12-28,28 days,https://www.transfermarkt.co.uk/vincent-janssen/profil/spieler/207015
Tottenham Hotspur,Vincent Janssen,injury,concussion,2016-11-10,2016-11-16,7 days,https://www.transfermarkt.co.uk/vincent-janssen/profil/spieler/207015
Arsenal FC,David Ospina,injury,Back injury,2017-04-03,2017-04-27,25 days,https://www.transfermarkt.co.uk/david-ospina/profil/spieler/73396
Arsenal FC,Petr Cech,injury,Calf strain,2017-03-18,2017-04-17,31 days,https://www.transfermarkt.co.uk/petr-cech/profil/spieler/5658
Arsenal FC,Shkodran Mustafi,injury,concussion,2017-05-15,2017-06-08,25 days,https://www.transfermarkt.co.uk/shkodran-mustafi/profil/spieler/88590
Arsenal FC,Shkodran Mustafi,injury,Thigh problems,2017-04-17,2017-05-04,18 days,https://www.transfermarkt.co.uk/shkodran-mustafi/profil/spieler/88590
Arsenal FC,Shkodran Mustafi,injury,Hamstring injury,2016-12-12,2017-01-02,22 days,https://www.transfermarkt.co.uk/shkodran-mustafi/profil/spieler/88590
Arsenal FC,Laurent Koscielny,injury,Thigh problems,2017-02-16,2017-03-02,15 days,https://www.transfermarkt.co.uk/laurent-koscielny/profil/spieler/76277
Arsenal FC,Calum Chambers,injury,Foot injury,2017-02-20,2017-04-17,57 days,https://www.transfermarkt.co.uk/calum-chambers/profil/spieler/215118
Arsenal FC,Calum Chambers,injury,Foot injury,2017-01-26,2017-02-02,8 days,https://www.transfermarkt.co.uk/calum-chambers/profil/spieler/215118
Arsenal FC,Gabriel Paulista,injury,Knee injury,2017-05-21,2017-09-06,109 days,https://www.transfermarkt.co.uk/gabriel-paulista/profil/spieler/149498
Arsenal FC,Gabriel Paulista,injury,Ankle injury,2016-08-08,2016-09-19,43 days,https://www.transfermarkt.co.uk/gabriel-paulista/profil/spieler/149498
Arsenal FC,Per Mertesacker,injury,Knee injury,2016-07-21,2017-01-27,191 days,https://www.transfermarkt.co.uk/per-mertesacker/profil/spieler/6710
Arsenal FC,Nacho Monreal,injury,Thigh problems,2016-10-27,2016-11-07,12 days,https://www.transfermarkt.co.uk/nacho-monreal/profil/spieler/43003
Arsenal FC,Kieran Gibbs,injury,Knee injury,2016-12-26,2017-01-16,22 days,https://www.transfermarkt.co.uk/kieran-gibbs/profil/spieler/44792
Arsenal FC,Héctor Bellerín,injury,Ankle injury,2017-01-06,2017-01-16,11 days,https://www.transfermarkt.co.uk/hector-bellerin/profil/spieler/191217
Arsenal FC,Héctor Bellerín,injury,Ankle injury,2016-11-07,2016-12-10,34 days,https://www.transfermarkt.co.uk/hector-bellerin/profil/spieler/191217
Arsenal FC,Carl Jenkinson,injury,Torn knee ligaments,2016-01-23,2016-10-13,265 days,https://www.transfermarkt.co.uk/carl-jenkinson/profil/spieler/126321
Arsenal FC,Mathieu Debuchy,injury,Hamstring injury,2016-11-27,2017-01-27,62 days,https://www.transfermarkt.co.uk/mathieu-debuchy/profil/spieler/27306
Arsenal FC,Granit Xhaka,injury,Ankle injury,2017-04-30,2017-05-10,11 days,https://www.transfermarkt.co.uk/granit-xhaka/profil/spieler/111455
Arsenal FC,Granit Xhaka,suspension,Red card suspension,2017-01-23,2017-02-13,22 days,https://www.transfermarkt.co.uk/granit-xhaka/profil/spieler/111455
Arsenal FC,Granit Xhaka,suspension,Red card suspension,2016-10-17,2016-10-31,15 days,https://www.transfermarkt.co.uk/granit-xhaka/profil/spieler/111455
Arsenal FC,Francis Coquelin,injury,Hamstring injury,2017-01-03,2017-01-16,14 days,https://www.transfermarkt.co.uk/francis-coquelin/profil/spieler/74869
Arsenal FC,Francis Coquelin,injury,Knee injury,2016-09-27,2016-10-17,21 days,https://www.transfermarkt.co.uk/francis-coquelin/profil/spieler/74869
Arsenal FC,Mohamed Elneny,injury,Calf strain,2017-01-26,2017-02-02,8 days,https://www.transfermarkt.co.uk/mohamed-elneny/profil/spieler/160438
Arsenal FC,Mohamed Elneny,suspension,Called up to national team,2017-01-02,2017-02-05,35 days,https://www.transfermarkt.co.uk/mohamed-elneny/profil/spieler/160438
Arsenal FC,Aaron Ramsey,injury,Calf injury,2017-01-30,2017-03-02,32 days,https://www.transfermarkt.co.uk/aaron-ramsey/profil/spieler/50057
Arsenal FC,Aaron Ramsey,injury,Hamstring injury,2016-12-05,2016-12-26,22 days,https://www.transfermarkt.co.uk/aaron-ramsey/profil/spieler/50057
Arsenal FC,Aaron Ramsey,injury,Hamstring injury,2016-08-15,2016-10-24,71 days,https://www.transfermarkt.co.uk/aaron-ramsey/profil/spieler/50057
Arsenal FC,Alex Oxlade-Chamberlain,injury,Hamstring injury,2017-05-10,2017-05-27,18 days,https://www.transfermarkt.co.uk/alex-oxlade-chamberlain/profil/spieler/143424
Arsenal FC,Jack Wilshere,injury,Hairline fracture in the fibula,2017-04-16,2017-08-06,113 days,https://www.transfermarkt.co.uk/jack-wilshere/profil/spieler/74223
Arsenal FC,Santi Cazorla,injury,Ankle surgery,2016-10-20,2018-06-30,619 days,https://www.transfermarkt.co.uk/santi-cazorla/profil/spieler/15799
Arsenal FC,Mesut Özil,injury,muscular problems,2017-03-13,2017-03-23,11 days,https://www.transfermarkt.co.uk/mesut-ozil/profil/spieler/35664
Arsenal FC,Mesut Özil,injury,Ill,2017-02-27,2017-03-06,8 days,https://www.transfermarkt.co.uk/mesut-ozil/profil/spieler/35664
Arsenal FC,Mesut Özil,injury,Ill,2016-12-29,2017-01-09,12 days,https://www.transfermarkt.co.uk/mesut-ozil/profil/spieler/35664
Arsenal FC,Alex Iwobi,injury,Hamstring strain,2016-08-14,2016-09-10,28 days,https://www.transfermarkt.co.uk/alex-iwobi/profil/spieler/242631
Arsenal FC,Stephy Mavididi,injury,Torn thigh muscle,2017-02-25,2017-05-25,90 days,https://www.transfermarkt.co.uk/stephy-mavididi/profil/spieler/340328
Arsenal FC,Theo Walcott,injury,Calf strain,2016-12-23,2017-01-27,36 days,https://www.transfermarkt.co.uk/theo-walcott/profil/spieler/33713
Arsenal FC,Theo Walcott,injury,Hamstring injury,2016-10-25,2016-11-06,13 days,https://www.transfermarkt.co.uk/theo-walcott/profil/spieler/33713
Arsenal FC,Joel Campbell,injury,Adductor injury,2017-02-01,2017-02-22,22 days,https://www.transfermarkt.co.uk/joel-campbell/profil/spieler/131248
Arsenal FC,Alexis Sánchez,injury,Thigh problems,2016-11-08,2016-11-14,7 days,https://www.transfermarkt.co.uk/alexis-sanchez/profil/spieler/40433
Arsenal FC,Olivier Giroud,injury,Thigh problems,2016-11-27,2016-12-05,9 days,https://www.transfermarkt.co.uk/olivier-giroud/profil/spieler/82442
Arsenal FC,Olivier Giroud,injury,Toe injury,2016-09-24,2016-10-16,23 days,https://www.transfermarkt.co.uk/olivier-giroud/profil/spieler/82442
Arsenal FC,Olivier Giroud,injury,Toe injury,2016-09-13,2016-09-21,9 days,https://www.transfermarkt.co.uk/olivier-giroud/profil/spieler/82442
Arsenal FC,Lucas Pérez,injury,Hamstring strain,2017-03-16,2017-05-01,47 days,https://www.transfermarkt.co.uk/lucas-perez/profil/spieler/73185
Arsenal FC,Lucas Pérez,injury,Ankle injury,2016-10-25,2016-11-30,37 days,https://www.transfermarkt.co.uk/lucas-perez/profil/spieler/73185
Arsenal FC,Danny Welbeck,injury,Toe injury,2017-04-17,2017-04-20,4 days,https://www.transfermarkt.co.uk/danny-welbeck/profil/spieler/67063
Arsenal FC,Danny Welbeck,injury,Cartilage damage,2016-05-09,2017-01-02,239 days,https://www.transfermarkt.co.uk/danny-welbeck/profil/spieler/67063
Arsenal FC,Chuba Akpom,injury,Back injury,2016-09-28,2017-01-07,102 days,https://www.transfermarkt.co.uk/chuba-akpom/profil/spieler/197642
Arsenal FC,Yaya Sanogo,injury,Calf injury,2016-04-24,2017-03-01,312 days,https://www.transfermarkt.co.uk/yaya-sanogo/profil/spieler/127194
Manchester United,Eric Bailly,injury,Knee injury,2016-10-24,2016-12-01,39 days,https://www.transfermarkt.co.uk/eric-bailly/profil/spieler/286384
Manchester United,Marcos Rojo,injury,Cruciate ligament tear,2017-04-21,2017-11-15,209 days,https://www.transfermarkt.co.uk/marcos-rojo/profil/spieler/93176
Manchester United,Chris Smalling,injury,Knee injury,2017-03-23,2017-05-01,40 days,https://www.transfermarkt.co.uk/chris-smalling/profil/spieler/103427
